                    SOFT STORY PROPERTIES LIST (Updated Every Wednesday),,,,,,,,,,,
BLOCK,LOT,PROPERTY,NOTICE,SCREENING FORM,,OPT. EVALUATION,,IN / OUT,TIER,,
1167,042,2750 MCALLISTER ST,X,05/19/14,05/19/14,, ,IN,2,Screening Form Accepted,
1167,041,2845 GOLDEN GATE AV,X,10/02/15,10/02/15,,,IN,3,Screening Form Accepted,
1168,032,812 ARGUELLO BL,X,03/01/14,03/07/14,,,OUT,,Not Subject to the Program,
1168,005,331 WILLARD ST,X,09/09/14,09/09/14,,,IN,3,Screening Form Accepted,
1168,049,2470 FULTON ST,X,06/24/14,06/24/14,,,IN,3,Screening Form Accepted,
1168,027,860 ARGUELLO ST ,X,04/22/14,04/22/14,,,IN,2,Screening Form Accepted,
1169,005,2344 FULTON ST,X,04/28/14,04/28/14,,,IN,3,Screening Form Accepted,
1169,004,2338 FULTON ST,X,08/06/14,08/06/14,,,IN,3,Screening Form Accepted,
1169,001,369 STANYAN ST,X,10/18/13,10/18/13,,,IN,3,Screening Form Accepted,
1169,011,2390 FULTON ST,X,09/24/14,09/24/14,,,IN,3,Screening Form Accepted,
1170,001,701 PARKER AV,X,02/03/14,02/03/14,,,IN,2,Permit Filed,
1170,037,310 STANYAN ST,X,07/15/14,07/15/14,,,IN,3,"Work Complete, CFC Issued",
1170,035,2288 FULTON ST,X,07/08/14,07/08/14,,,IN,3,Screening Form Accepted,
1173,001P,1930 FULTON ST,X,06/19/14,07/01/14,,,OUT,,Not Subject to the Program,
1173,016,1960 FULTON ST,X,04/29/14,04/29/14,,,IN,3,Screening Form Accepted,
1173,001G,1880 FULTON ST,X,09/04/14,09/04/14,,,IN,3,Screening Form Accepted,
1173,001H,1910 FULTON ST,X,09/04/14,09/04/14,,,IN,3,Screening Form Accepted,
1174,002A,1808 FULTON ST,X,05/15/14,05/15/14,, ,IN,3,"Work Complete, CFC Issued",
1174,005,1850 FULTON ST,X,05/14/14,05/14/14,,,IN,3,Permit Issued,
1176,005,605 LYON ST,X,08/13/14,08/13/14,,,IN,3,"Work Complete, CFC Issued",
1176,034,1921 MCALLISTER ST,X,12/16/13,12/16/13,,,IN,3,"Work Complete, CFC Issued",
1176,019,700 CENTRAL AV,X,09/05/14,09/05/14,,,IN,2,Permit Filed,
1177,010,1518 FULTON ST,X,08/16/14,08/16/14,,,IN,4,Screening Form Accepted,
1177,025,644 LYON ST,X,06/05/14,06/05/14,,,IN,2,Screening Form Accepted,
1178,025,1747 MCALLISTER ST,X,08/05/14,08/05/14,,,IN,3,Permit Issued,
1178,013A,1488 FULTON ST,X,05/22/14,05/22/14,,,IN,4,Screening Form Accepted,
1178,024,1755 MCALLISTER ST,X,06/20/14,06/20/14,,,IN,3,Screening Form Accepted,
1178,012,1470 FULTON ST,X,08/12/14,08/12/14,,,IN,2,Screening Form Accepted,
1178,027,1715 MCALLISTER ST,X,09/15/14,09/15/14,,,IN,2,Screening Form Accepted,
1178,026,1733 MCALLISTER ST,X,11/15/13,11/15/13,,,IN,3,Screening Form Accepted,
1178,016,620 BAKER ST,X,09/04/14,09/04/14,12/15/14,12/18/14,OUT,,Screening Form and Optional Evaluation Form Approved,
1179,024B,1629 MCALLISTER ST,X,06/09/14,06/09/14,,,IN,3,Permit Issued,
1179,027,823 DIVISADERO ST,X,03/31/14,04/28/14,,,OUT,,Not Subject to the Program,
1179,019,1691 MCALLISTER ST,X,08/26/15,08/26/15,,,IN,3,Screening Form Accepted,
1179,024,1647 MCALLISTER ST,X,06/09/14,06/09/14,,,IN,3,Screening Form Accepted,
1179,001B,847 DIVISADERO ST,X,04/22/14,04/22/14,,,IN,4,Screening Form Accepted,
1179,001C,833 DIVISADERO ST,X,04/22/14,04/22/14,,,IN,4,Screening Form Accepted,
1179,018,718 BRODERICK ST,X,05/02/14,05/02/14,,,IN,3,Screening Form Accepted,
1180,017,1593 MCALLISTER ST,X,07/08/14,07/08/14,,,IN,4,Permit Filed,
1180,001,841 SCOTT ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
1180,034,1543 MCALLISTER ST,X,05/14/14,05/14/14,,,IN,3,Screening Form Accepted,
1180,013,1290 FULTON ST,X,06/25/14,06/25/14,,,IN,4,Screening Form Accepted,
1181,014C,730 DIVISADERO ST,,12/05/13,12/05/13,,,IN,4,Work Complete,
1181,014A,1280 GROVE ST,X,11/01/13,11/01/13,,,IN,3,"Work Complete, CFC Issued",
1181,014,1270 GROVE ST,X,09/14/14,09/14/14,,,IN,3,Screening Form Accepted,
1181,016,738 DIVISADERO ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
1181,025,1231 FULTON ST,X,08/20/14,08/20/14,,,IN,3,Screening Form Accepted,
1181,031,1228 GROVE ST,X,07/18/14,07/18/14,,,IN,3,Screening Form Accepted,
1181,023,1247 FULTON ST,X,06/03/14,06/03/14,,,IN,3,Screening Form Accepted,
1181,012,1240 GROVE ST,,09/10/14,09/10/14,,,IN,3,Screening Form Accepted,
1182,015,624 BRODERICK ST,X,09/03/14,09/03/14,,,IN,3,Permit Issued,
1182,021,1377 FULTON ST,X,06/10/14,06/10/14,,,IN,3,Permit Issued,
1182,010,1364 GROVE ST,X,11/18/13,11/18/13,,,IN,3,Permit Filed,
1182,014,618 BRODERICK ST,X,06/20/14,06/20/14,,,IN,3,Screening Form Accepted,
1183,025,550 BAKER ST,X,10/25/13,10/25/13,,,IN,3,"Work Complete, CFC Issued",
1183,011,1422 GROVE ST,X,08/11/14,08/21/14,,,OUT,,Not Subject to the Program,
1183,033,1435 FULTON ST,X,02/07/14,02/07/14,,,IN,3,Screening Form Accepted,
1183,011,1424 GROVE ST,X,08/19/14,08/26/14,,,IN,3,Screening Form Accepted,
1183,028,1457 FULTON ST,X,10/10/14,10/10/14,,,IN,3,Screening Form Accepted,
1183,019,1472 GROVE ST,X,08/20/14,08/20/14,,,IN,4,Screening Form Accepted,
1184,019,500 LYON ST,X,06/23/14,06/23/14,,,IN,3,Screening Form Accepted,
1184,001,561 BAKER ST,X,05/01/14,05/01/14,,,IN,3,Screening Form Accepted,
1184,010,1530 GROVE ST,X,09/14/15,09/14/15,,,IN,3,Screening Form Accepted,
1185,024,642 CENTRAL AV,X,05/06/14,05/06/14,,,IN,3,"Work Complete, CFC Issued",
1185,021,628 CENTRAL AV,X,08/27/14,08/27/14,,,IN,3,Permit Issued,
1185,025,1689 FULTON ST,X,11/05/14,11/14/14,,,OUT,,Not Subject to the Program,
1185,027,1675 FULTON ST,X,03/11/15,03/11/15,,,IN,3,Screening Form Accepted,
1185,033,1639 FULTON ST,X,06/05/14,06/05/14,,,IN,3,Screening Form Accepted,
1185,020,1690 GROVE ST,X,08/20/14,08/20/14,,,IN,3,Screening Form Accepted,
1185,018,1678 GROVE ST,X,11/10/14,11/10/14,,,IN,3,Screening Form Accepted,
1186,009D,1753 FULTON ST,,08/12/14,08/12/14,,,IN,3,Permit Issued,
1186,008,1706 GROVE ST,,,,,,IN,3,Permit Issued,
1186,009L,1725 FULTON ST,X,,,,,IN,2,   Subject to the Program,
1186,006,633 CENTRAL AV,,06/09/14,06/17/14,,,OUT,,Not Subject to the Program,
1186,011,1798 GROVE ST,X,06/12/14,06/12/14,,,IN,3,Screening Form Accepted,
1187,006B,1890 GROVE ST,X,01/28/14,01/28/14,,,OUT,,Not Subject to the Program,
1187,001,1801 FULTON ST,X,05/27/14,05/27/14,,,IN,4,Screening Form Accepted,
1187,009E,1851 FULTON ST,X,09/14/14,09/14/14,,,IN,3,Screening Form Accepted,
1188,015,1921 FULTON ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1188,001,17 ASHBURY ST,X,11/18/13,11/18/13,,,IN,3,Screening Form Accepted,
1188,002C,57 ASHBURY ST,X,05/30/14,05/30/14,,,IN,3,Screening Form Accepted,
1188,005,1946 GROVE ST,X,04/04/14,04/04/14,,,IN,3,Screening Form Accepted,
1189,016,16 COLE ST,X,02/03/14,02/03/14,,,IN,3,Permit Issued,
1189,018,2095 FULTON ST,X,02/03/14,02/03/14,,,IN,3,Permit Issued,
1189,009,2090 GROVE ST.,X,07/01/14,07/01/14,,,IN,3,"Work Complete, CFC Issued",
1189,002D,2000 GROVE ST,X,07/17/14,07/17/14,,,IN,3,Screening Form Accepted,
1190,001L,2190 GROVE ST,,,,,,IN,3,Permit Issued,
1190,001R,40 SHRADER ST,X,09/11/14,09/11/14,,,IN,3,Screening Form Accepted,
1190,001A,43 COLE ST,X,07/18/14,07/18/01,,,IN,3,Screening Form Accepted,
1190 ,001C,2144 GROVE ST,,08/14/14,08/14/14,,,IN,3,Screening Form Accepted,
1191,023,2277 FULTON ST,X,08/12/14,08/12/14,,,IN,3,"Work Complete, CFC Issued",
1191,024,2271 FULTON ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1191,029,2237 FULTON ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1193,035,2131 GROVE ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1193,009,155 COLE ST,X,08/14/14,08/14/14,,,IN,3,Screening Form Accepted,
1193,019,158 SHRADER ST,X,03/05/14,03/05/14,,,IN,3,Screening Form Accepted,
1194,004,125 CLAYTON ST,X,12/16/13,12/16/13,,,IN,3,"Work Complete, CFC Issued",
1194,018,130 COLE ST,X,08/29/14,08/29/14,,,IN,3,Permit Issued,
1194,014,154 COLE ST,X,10/16/13,10/16/13,,,IN,4,Screening Form Accepted,
1194,001,2001 GROVE ST,X,11/13/13,12/05/13,11/13/13,12/05/13,OUT,,Screening Form and Optional Evaluation Form Approved,
1195,014,1985 GROVE ST,X,06/26/14,06/26/14,,,IN,3,Permit Filed,
1195,006,1974 HAYES ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
1197,015,1794 HAYES ST,X,08/24/14,08/24/14,,,IN,3,"Work Complete, CFC Issued",
1197,001,1701 GROVE ST,X,05/16/14,05/16/14,,,IN,3,Screening Form Accepted,
1197,024A,700 MASONIC AV,X,04/16/14,04/16/14,,,IN,3,Screening Form Accepted,
1198,018,1670 HAYES ST,X,03/21/14,03/21/14,,,IN,3,"Work Complete, CFC Issued",
1198,007,407 LYON ST,X,10/18/13,04/28/14,,,OUT,,Not Subject to the Program,
1198,005,415 LYON ST,X,01/10/14,12/29/15,,,OUT,,Not Subject to the Program,
1198,021,1686 HAYES ST,X,04/28/14,04/28/14,10/15/14,12/23/14,OUT,,Screening Form and Optional Evaluation Form Approved,
1199,012,1550 HAYES ST,X,02/12/14,02/12/14,,,IN,3,"Work Complete, CFC Issued",
1199,016,1588 HAYES ST,X,07/30/14,07/30/14,,,IN,3,Permit Issued,
1199,015,1570 HAYES ST,X,12/10/13,12/10/13,,,IN,3,Permit Issued,
1199,010,1534 HAYES ST,X,08/06/14,08/06/14,,,IN,3,Screening Form Accepted,
1199,024,458 LYON ST,X,07/03/14,07/03/14,,,IN,3,Screening Form Accepted,
1199,018,422 LYON ST,X,06/05/14,06/05/14,,,IN,3,Screening Form Accepted,
1200,001,1401 GROVE ST,X,05/15/14,05/15/14,,,IN,3,"Work Complete, CFC Issued",
1200,001D,1431 GROVE ST,X,10/29/14,10/29/14,,,IN,3,Permit Filed,
1200,001C,535 BRODERICK ST,,09/10/14,09/10/14,,,IN,3,Screening Form Accepted,
1200,013B,430 BAKER ST,X,09/07/14,09/07/14,,,IN,2,Screening Form Accepted,
1200,001B,545 BRODERICK ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1200,004,515 BRODERICK ST,X,07/18/14,07/18/14,,,IN,3,Screening Form Accepted,
1201,002,643 DIVISADERO ST,X,07/01/14,07/01/14,,,IN,4,"Work Complete, CFC Issued",
1201,031,1371 GROVE ST,X,10/15/14,10/15/14,,,IN,3,Permit Issued,
1201,039,625 DIVISADERO ST,,08/29/14,08/29/14,,,IN,3,Permit Filed,
1201,023,1394 HAYES ST,X,07/17/14,07/17/14,,,IN,4,Screening Form Accepted,
1201,035,1341 GROVE ST,X,07/01/14,07/01/14,,,IN,3,Screening Form Accepted,
1201,036,1329 GROVE ST,X,06/05/14,06/05/14,,,IN,3,Screening Form Accepted,
1202,001E,605 SCOTT ST,X,06/03/14,06/03/14,,,IN,3,"Work Complete, CFC Issued",
1202,002F,1261 GROVE ST,X,09/06/15,01/06/15,,,OUT,,Not Subject to the Program,
1202,006,1220 HAYES ST,X,10/16/13,10/16/13,,,IN,3,Screening Form Accepted,
1202,001B,635 SCOTT ST,X,07/15/14,07/15/14,,,IN,3,Screening Form Accepted,
1202,001,659 SCOTT ST,X,11/04/13,11/04/13,,,IN,3,Screening Form Accepted,
1202,001A,651 SCOTT ST,X,03/20/14,03/20/14,,,IN,3,Screening Form Accepted,
1202,003,1231 GROVE ST,X,03/20/14,03/20/14,,,IN,3,Screening Form Accepted,
1202,002D,1265 GROVE ST,X,07/16/14,07/16/14,,,IN,3,Screening Form Accepted,
1202,002A,1290 HAYES ST,X,03/04/14,03/04/14,,,IN,4,Screening Form Accepted,
1203,011,1138 FELL ST,X,01/15/14,01/15/14,,,IN,3,Permit Issued,
1203,032,1239 HAYES ST,X,12/17/13,12/17/13,,,IN,3,Screening Form Accepted,
1203,020,518 DIVISADERO ST,X,03/04/14,03/04/14,,,IN,4,Screening Form Accepted,
1203,001,573 SCOTT ST,X,08/04/14,08/04/14,,,IN,3,Screening Form Accepted,
1203,027,1273 HAYES ST,X,05/19/14,05/19/14,,,IN,3,Screening Form Accepted,
1204,020,400 BRODERICK ST,,09/15/14,09/15/14,,,IN,3,Permit Issued,
1204,019,1270 FELL ST,X,08/20/14,08/20/14,,,IN,3,"Work Complete, CFC Issued",
1204,039,430 BRODERICK ST,X,05/23/14,05/23/14,,,OUT,,Not Subject to the Program,
1204,027,448 BRODERICK ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1204,020,1290 FELL ST,X,12/05/13,12/05/13,,,IN,3,Screening Form Accepted,
1204,028,1387 HAYES ST,X,05/21/14,05/21/14,,,IN,4,Screening Form Accepted,
1204,024,418 BRODERICK ST,X,03/23/15,03/23/15,,,IN,3,Screening Form Accepted,
1204,022,412 BRODERICK ST,X,10/28/14,10/28/14,,,IN,3,Screening Form Accepted,
1204,029,1375 HAYES ST,X,08/21/14,08/21/14,,,IN,4,Screening Form Accepted,
1204,030,1367 HAYES ST,X,03/04/14,03/04/14,,,IN,3,Screening Form Accepted,
1204,032,1359 HAYES ST,X,09/12/14,09/12/14,,,IN,3,Screening Form Accepted,
1204,021,406 BRODERICK ST,X,03/27/14,03/27/14,,,IN,3,Screening Form Accepted,
1205,021,312 BAKER ST,X,05/20/14,05/20/14,,,IN,4,Permit Filed,
1205,024A,372 BAKER ST,X,08/26/14,08/24/15,,,OUT,,Not Subject to the Program,
1205,030A,1431 HAYES ST,X,08/26/14,06/01/15,,,OUT,,Not Subject to the Program,
1205,024,360 BAKER ST,X,09/12/14,09/12/14,,,IN,4,Screening Form Accepted,
1205,023,340 BAKER ST,X,02/13/14,02/18/14,,,IN,3,Screening Form Accepted,
1206,002,1500 HAYES ST,X,10/31/13,11/08/13,,,OUT,,Not Subject to the Program,
1207,004,345 LYON ST,X,06/24/14,06/24/14,,,IN,3,Permit Issued,
1207,017,1578 FELL ST,X,08/11/15,08/12/15,,,OUT,,Not Subject to the Program,
1207,024,436 CENTRAL AV,X,06/16/14,06/16/14,,,IN,3,Screening Form Accepted,
1208,024,810 MASONIC AV,X,04/24/14,07/30/15,,,OUT,,Not Subject to the Program,
1208,018,1664 FELL ST,,09/15/14,10/02/14,,,OUT, ,Not Subject to the Program,
1208,012,1628 FELL ST,X,04/23/14,05/06/14,,,OUT,,Not Subject to the Program,
1208,001,461 CENTRAL AV,X,06/25/14,06/25/14,,,IN,3,Screening Form Accepted,
1208,007,1600 FELL ST,X,06/12/14,06/12/14,,,IN,2,Screening Form Accepted,
1209,033,829 MASONIC AV,X,03/13/14,03/13/14,,,IN,3,Screening Form Accepted,
1209,025,1871 HAYES ST,X,06/25/14,06/25/14,,,IN,4,Screening Form Accepted,
1209,001,1801 HAYES ST,X,04/16/14,04/16/14,,,IN,3,Screening Form Accepted,
1209,004,825 MASONIC AV,X,09/20/14,09/01/15,11/03/15,11/04/15,OUT,,Screening Form and Optional Evaluation Form Approved,
1210,016,1852 FELL ST,X,08/05/14,08/05/14,,,IN,3,Permit Issued,
1210,039,1880 FELL ST,X,09/05/14,09/05/14,,,IN,3,Screening Form Accepted,
1210,035,1935 HAYES ST,X,09/03/14,09/03/14,,,IN,4,Screening Form Accepted,
1210,010,1814 FELL ST,X,10/02/14,10/02/14,,,IN,3,Screening Form Accepted,
1210,024,228 CLAYTON ST,X,03/24/14,03/24/14,,,IN,3,Screening Form Accepted,
1211,034,2045 HAYES ST,X,09/29/14,09/29/14,,,IN,3,"Work Complete, CFC Issued",
1211,007,239 CLAYTON ST,X,06/03/14,06/03/14,,,IN,3,Screening Form Accepted,
1211,023,1994 FELL ST,X,09/10/14,09/10/14,,,IN,3,Screening Form Accepted,
1211,029 ,2077 HAYES ST,,06/04/14,06/09/14,06/04/14,06/09/14,OUT,,Screening Form and Optional Evaluation Form Approved,
1212,011,2030 FELL ST,X,12/04/14,12/04/14,,,IN,2,"Work Complete, CFC Issued",
1212,026,2040 FELL ST,X,06/03/14,06/03/14,,,IN,3,Permit Filed,
1212,011A,2125 HAYES ST,X,08/04/14,08/04/14,,,IN,3,Permit Issued,
1212,014,2070 FELL ST,X,03/28/14,03/28/14,,,IN,3,Screening Form Accepted,
1212,012,2050 FELL ST,X,10/27/14,10/27/14,,,IN,3,Screening Form Accepted,
1212,017A,230 SHRADER ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1212,007,299 COLE ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
1212,001,2101 HAYES ST,X,04/28/14,04/28/14,,,IN,4,Screening Form Accepted,
1212,017,238 SHRADER ST,X,07/14/14,07/14/14,,,IN,3,Screening Form Accepted,
1212,021,2185 HAYES ST,,06/04/14,06/09/14,06/04/14,06/09/14,OUT,,Screening Form and Optional Evaluation Form Approved,
1213,002B,2130 FELL ST,X,07/01/14,07/01/14,,,IN,3,Permit Issued,
1213,003,2136 FELL ST,X,07/01/14,07/01/14,,,IN,3,Permit Issued,
1213,003A,2140 FELL ST.,X,07/01/14,07/01/14,,,IN,3,Permit Issued,
1213,002A,2100 FELL ST,,09/04/14,09/04/14,,,IN,3,Screening Form Accepted,
1213,002D,255 SHRADER ST,X,09/11/14,10/16/14,,,OUT,,Not Subject to the Program,
1213,002,235 SHRADER ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1214,001,1301 FELL ST,X,06/19/14,06/19/14,,,IN,4,Permit Filed,
1215,009,1144 OAK ST,X,09/02/14,09/02/14,,,OUT,,Not Subject to the Program,
1216,015,1133 FELL ST,X,09/09/14,09/09/14,,,IN,3,Screening Form Accepted,
1216,001E,1000 OAK ST,X,05/17/14,08/26/15,08/04/15,08/26/15,OUT,,Screening Form and Optional Evaluation Form Approved,
1217,019,968 PAGE ST,X,10/08/13,10/08/13,,,IN,3,Permit Issued,
1217,033,1053 OAK ST,X,08/26/14,08/26/14,,,OUT,,Not Subject to the Program,
1217,020,300 DIVISADERO ST,X,08/25/14,08/25/14,,,IN,4,Screening Form Accepted,
1217,036,1021 OAK ST,X,10/31/14,10/31/14,,,IN,3,Screening Form Accepted,
1218,001,1101 OAK ST,X,08/12/14,08/12/14,,,IN,4,Screening Form Accepted,
1219,001,291 BRODERICK ST,X,03/13/14,03/13/14,,,IN,2,Permit Issued,
1219,010,1130 PAGE ST,X,06/17/14,07/14/14,,,OUT,,Not Subject to the Program,
1219,020,120 BAKER ST,X,06/13/14,06/17/14,,,OUT,,Not Subject to the Program,
1219,019,104 BAKER ST,X,08/06/14,06/11/15,,,OUT,,Not Subject to the Program,
1219,003,237 BRODERICK ST,X,09/05/14,09/05/14,,,IN,3,Screening Form Accepted,
1219,039,1158 PAGE ST,X,02/07/14,02/07/14,,,IN,3,Screening Form Accepted,
1219,027,1285 OAK ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
1219,026,158 BAKER ST,X,12/22/14,12/22/14,,,IN,3,Screening Form Accepted,
1220,011,1256 PAGE ST,X,10/18/13,10/18/13,,,IN,3,Permit Issued,
1220,009A,1238 PAGE ST,X,08/24/14,08/24/14,,,IN,3,Permit Issued,
1220,002,133 BAKER ST,X,06/13/14,06/13/14,,,IN,3,Screening Form Accepted,
1220,033,1250 PAGE ST,X,07/23/14,09/14/15,,,IN,3,Screening Form Accepted,
1221,024,230 CENTRAL AV,X,03/28/14,03/28/14,,,IN,2,Permit Issued,
1221,028,1495 OAK ST,X,08/27/14,09/02/14,,,OUT,,Not Subject to the Program,
1221,008,1300 PAGE ST,X,11/25/14,12/01/14,,,OUT,,Not Subject to the Program,
1221,023,1390 PAGE ST,X,09/17/15,09/21/15,,,OUT,,Not Subject to the Program,
1221,002,125 LYON ST,X,07/14/14,07/14/14,,,IN,3,Screening Form Accepted,
1221,035,1445 OAK ST,X,03/04/14,03/04/14,,,IN,3,Screening Form Accepted,
1221,016,1320 PAGE ST,X,11/04/14,11/04/14,,,IN,3,Screening Form Accepted,
1222,012,1456 PAGE ST,X,07/25/14,07/25/14,,,IN,3,Permit Issued,
1222,028,1565 OAK ST,X,06/05/14,06/05/14,,,IN,3,Permit Issued,
1222,028A,1555 OAK ST,X,05/22/14,05/22/14,,,IN,3,"Work Complete, CFC Issued",
1222,023,1012 MASONIC AV,X,08/14/14,08/14/14,,,IN,3,"Work Complete, CFC Issued",
1222,051,245 CENTRAL AV,X,07/07/14,07/07/14,,,IN,3,Permit Issued,
1222,052,247 CENTRAL AV,X,07/07/14,07/07/14,,,IN,3,Permit Issued,
1222,053,249 CENTRAL AV,X,07/07/14,07/07/14,,,IN,3,Permit Issued,
1222,054,251 CENTRAL AV,X,07/07/14,07/07/14,,,IN,3,Permit Issued,
1222,055,253 CENTRAL AV,X,07/07/14,07/07/14,,,IN,3,Permit Issued,
1222,056,255 CENTRAL AV,X,07/07/14,07/07/14,,,IN,3,Permit Issued,
1222,042 ,263 CENTRAL AV,X,06/10/14,06/10/14,,,IN,3,Permit Filed,
1222,037,257 CENTRAL AV,X,06/10/14,06/10/14,,,IN,3,Permit Filed,
1222,047,1040 MASONIC AVE, ,08/13/14,08/19/14,,,OUT, ,Not Subject to the Program,
1222,013,1458 PAGE ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
1222,029,1541 OAK ST,X,04/21/14,04/21/14,,,IN,3,Screening Form Accepted,
1222,034,1519 OAK ST,X,04/22/14,04/22/14,,,IN,3,Screening Form Accepted,
1222,011,1438 PAGE ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
1222,016,1474 PAGE ST,X,11/04/14,11/04/14,,,IN,3,Screening Form Accepted,
1222,025,1000 MASONIC AV,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
1222,039,261 CENTRAL AV,X,06/10/14,06/10/14,,,IN,3,Screening Form Accepted,
1222,041,265 CENTRAL AV,X,06/10/14,06/10/14,,,IN,3,Screening Form Accepted,
1222,040,267 CENTRAL AV,X,06/10/14,06/10/14,,,IN,3,Screening Form Accepted,
1222 ,038,259 CENTRAL AV,X,06/10/14,06/10/14,,,IN,3,Screening Form Accepted,
1223,001,1015 MASONIC AV,X,03/10/14,03/10/14,,,IN,3,Permit Filed,
1224,004,445 ASHBURY ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
1225,032,1855 OAK ST,X,11/12/13,11/12/13,,,IN,3,Permit Issued,
1225,039,1726 PAGE ST,X,01/08/14,01/08/14,,,IN,3,"Work Complete, CFC Issued",
1225,036,1815 OAK ST,X,05/06/14,05/06/14,,,IN,3,"Work Complete, CFC Issued",
1225,041,1700 PAGE ST,X,03/21/14,03/24/14,,,OUT,,Not Subject to the Program,
1225,034,1837 OAK ST,X,11/18/14,11/18/14,,,IN,3,Screening Form Accepted,
1225,031,1865 OAK ST,X,07/03/14,07/03/14,,,IN,3,Screening Form Accepted,
1225,027,400 COLE ST,X,05/09/14,05/09/14,,,IN,3,Screening Form Accepted,
1225,013,1732 PAGE ST,X,12/27/13,12/27/13,,,IN,3,Screening Form Accepted,
1225,015,1746 PAGE ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
1225,026,424 COLE ST,X,09/12/14,09/12/14,,,IN,3,Screening Form Accepted,
1225,035,1821 OAK ST,X,06/26/14,06/26/14,,,IN,3,Screening Form Accepted,
1225,030,1875 OAK ST,,07/25/14,07/25/14,,,IN,3,Screening Form Accepted,
1225,014,1742 PAGE ST,X,12/27/13,12/27/13,,,IN,3,Screening Form Accepted,
1226,005,455 COLE ST,X,08/13/14,08/13/14,,,IN,3,Permit Filed,
1226,026,1959 OAK ST,X,08/20/14,08/20/14,,,IN,3,Permit Filed,
1226,011,1844 PAGE ST,X,08/04/15,08/04/15,,,IN,3,Screening Form Accepted,
1226,015,1868 PAGE ST,X,07/07/14,07/07/14,,,IN,3,Screening Form Accepted,
1226,020,410 SHRADER ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
1226,017,1880 PAGE ST,X,07/31/14,07/31/14,,,IN,3,Screening Form Accepted,
1226,038,1995 OAK ST,X,06/17/14,06/17/14,,,IN,3,Screening Form Accepted,
1226,037,401 COLE ST,X,11/15/13,11/15/13,,,IN,3,Screening Form Accepted,
1226,014,1862 PAGE ST,X,03/27/14,03/27/14,,,IN,3,Screening Form Accepted,
1226,027,1951 OAK ST,X,05/08/14,05/08/14,,,IN,3,Screening Form Accepted,
1226,010,1832 PAGE ST,X,06/18/14,06/18/14,,,IN,3,Screening Form Accepted,
1226,004,445 COLE ST,X,04/28/14,04/28/14,,,IN,3,Screening Form Accepted,
1226,018,1890 PAGE ST,X,05/22/14,06/12/14,05/22/14,06/12/14,OUT,,Screening Form and Optional Evaluation Form Approved,
1227,024,600 STANYAN ST,X,01/21/14,01/21/14,,,IN,2,"Work Complete, CFC Issued",
1227,006,1910 PAGE ST,X,11/04/13,11/04/13,,,IN,3,Permit Filed,
1227,005,1900 PAGE ST,X,05/01/14,05/01/14,,,IN,3,Screening Form Accepted,
1227,040,2027 OAK ST,X,09/09/14,09/09/14,,,IN,3,Screening Form Accepted,
1227,028,2065 OAK ST,X,06/25/14,06/25/14,,,IN,2,Screening Form Accepted,
1227,033,2041 OAK ST,,09/09/14,09/09/14,,,IN,3,Screening Form Accepted,
1228,010,1965 PAGE ST,X,12/18/13,12/18/13,,,IN,2,"Work Complete, CFC Issued",
1228,013A,1937 PAGE ST,X,03/14/14,03/14/14,,,IN,3,"Work Complete, CFC Issued",
1228,013,1943 PAGE ST,X,03/14/14,03/14/14,,,IN,3,"Work Complete, CFC Issued",
1229,017,520 SHRADER ST,X,10/03/14,08/31/15,,,OUT,,Not Subject to the Program,
1229,001,1801 PAGE ST,X,10/27/14,10/30/14,,,OUT,,Not Subject to the Program,
1229,025,1849 PAGE ST,,05/06/14,05/06/14,,,OUT,,Not Subject to the Program,
1229,020,1881 PAGE ST,X,06/18/14,06/18/14,,,IN,3,Screening Form Accepted,
1229,022,1871 PAGE ST,X,06/06/14,06/06/14,,,IN,3,Screening Form Accepted,
1229,030,525 COLE ST,X,08/22/14,09/03/15,08/22/14,09/03/15,OUT,,Screening Form and Optional Evaluation Form Approved,
1230,017,1692 HAIGHT ST,X,09/05/13,09/05/13,,,IN,4,"Work Complete, CFC Issued",
1230,019,532 COLE ST,X,09/13/14,09/13/14,,,IN,3,Permit Filed,
